date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:58	296/296	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:10:59%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=3	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.f9ba9.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:10:58	195423/195423	---M-Z	200	added ('OK')	text/html	etag:W/%222fb5f-V/nyl7I1fXpy9+grlhkJQ2PME20%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=1	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A3dc1.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:03	251333/251333	---M-Z	200	added ('OK')	text/html	etag:W/%223d5c5-vTl3YdVTEHa4Msogi/oLlPIc/a4%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=3	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A9ba9.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:05	296/296	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:11:07%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=4	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.11fdb0.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:10	296/296	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:11:11%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=5	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.13af4d.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:10	252082/252082	---M-Z	200	added ('OK')	text/html	etag:W/%223d8b2-6j+MdbLTJ0J51Sjga/MIgg3805I%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=4	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5Afdb0.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:15	296/296	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:11:16%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=6	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.15c575.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:15	252044/252044	---M-Z	200	added ('OK')	text/html	etag:W/%223d88c-2KOVm4VO3B1XvWSFj0eOkqy0YSM%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=5	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5Aaf4d.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:19	296/296	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:11:20%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=7	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.17235c.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:19	250039/250039	---M-Z	200	added ('OK')	text/html	etag:W/%223d0b7-hQejUGJV6XKk6d65cAaLEakHDps%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=6	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5Ac575.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:24	297/297	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:11:25%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=42	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.193963.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:24	256490/256490	---M-Z	200	added ('OK')	text/html	etag:W/%223e9ea-nY6biCKTzXyD3NRhL0bJSQPy4bY%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=7	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A235c.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:28	216460/216460	---M-Z	200	added ('OK')	text/html	etag:W/%2234d8c-bkqipQ/m52kD3KN6UMMAeNsMXGY%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=42	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A3963.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:28	57657/57657	---M--	200	added ('OK')	image/png	etag:%228fb2dd625914cb17cd8864a3f61d3240%22	https://profiles.trustedshops.com/browser/assets/images/shop-profiles/controls/certificate-info/trustmark.png	C:/My%20Web%20Sites/c/profiles.trustedshops.com/browser/assets/images/shop-profiles/controls/certificate-info/trustmark.png	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:28	1527/1527	---M--	200	added ('OK')	application/javascript	etag:%22dba3d808190e28f23093ab1ebd898692%22	https://profiles.trustedshops.com/browser/runtime.ae5b0fb7334c0b461377.js	C:/My%20Web%20Sites/c/profiles.trustedshops.com/browser/runtime.ae5b0fb7334c0b461377.js	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:29	210706/210706	---M--	200	added ('OK')	application/javascript	etag:%22cfe32aea5c71939a392e3744479dc814%22	https://profiles.trustedshops.com/browser/polyfills-es5.63e76cd282e7ee2b0642.js	C:/My%20Web%20Sites/c/profiles.trustedshops.com/browser/polyfills-es5.63e76cd282e7ee2b0642.js	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:30	148414/148414	---M--	200	added ('OK')	application/javascript	etag:%225a23e4da51b277b30d7bf8a2504d4c4c%22	https://profiles.trustedshops.com/browser/scripts.c9e747a042c3a339ab09.js	C:/My%20Web%20Sites/c/profiles.trustedshops.com/browser/scripts.c9e747a042c3a339ab09.js	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:31	129281/129281	---M--	200	added ('OK')	application/javascript	etag:%2274395e550a799ecd1fe653222b51c166%22	https://profiles.trustedshops.com/browser/polyfills.4e0be5f2d07dd55c18f3.js	C:/My%20Web%20Sites/c/profiles.trustedshops.com/browser/polyfills.4e0be5f2d07dd55c18f3.js	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:32	296/296	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:11:33%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=8	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.21fdfa.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=2)
17:11:33	1314130/1314130	---M--	200	added ('OK')	application/javascript	etag:%22ef0363171b72fc485f5813d35cccfaa6%22	https://profiles.trustedshops.com/browser/main.5104a7439cb3c3f9b9c8.js	C:/My%20Web%20Sites/c/profiles.trustedshops.com/browser/main.5104a7439cb3c3f9b9c8.js	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html)
17:11:37	251831/251831	---M-Z	200	added ('OK')	text/html	etag:W/%223d7b7-vCfRZkwtftfIK5pVLfBH85sklWA%22	https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=8	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5Afdfa.html	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?page=2)
17:11:41	308/308	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202019%2016:11:42%20GMT	http://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=5&page=3	C:/My%20Web%20Sites/c/www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.24bc2c.delayed	(from https://www.trustedshops.de/bewertung/info_XF83EE0CD9C4D551755AF32C24FA60B5A.html?stars=5)
